Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
628,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,2002,31,29,2592,28.8,3,1,4,3,0,0,5,0,3.3,3.3,1.7,5,8,69,13,0.14,0.17,32,13,40.6,1.11,0.45,0.09,0.23,9.5,0
629,Bryan Cristante,it ITA,MF,Roma,it Serie A,29,1995,30,23,2045,22.7,4,2,6,4,0,0,8,0,2.1,2.1,1.4,3.5,25,145,41,0.26,0.15,30,7,23.3,1.32,0.31,0.13,0.57,16.9,0
632,Juan Cruz,es ESP,"FW,MF",Leganes,es La Liga,24,2000,34,26,2257,25.1,5,4,9,5,0,0,2,0,2.7,2.7,4.1,6.9,59,66,131,0.36,0.27,33,14,42.4,1.32,0.56,0.15,0.36,21,1
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,23,7,832,9.2,0,2,2,0,0,0,3,0,0.9,0.9,2,2.9,41,64,90,0.22,0.31,16,4,25,1.73,0.43,0,0,16,0
635,Cucho,co COL,FW,Betis,es La Liga,25,1999,15,14,1139,12.7,5,1,6,5,0,0,0,0,3.8,3.8,1.5,5.3,27,34,82,0.47,0.42,43,11,25.6,3.4,0.87,0.12,0.45,15.9,0
636,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,1998,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.18,0.15,24,11,45.8,0.72,0.33,0.21,0.45,16.1,0
638,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,1999,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.73,0.57,110,44,40,3.81,1.52,0.14,0.34,20.5,12
639,Patrick Cutrone,it ITA,FW,Como,it Serie A,26,1998,33,23,2047,22.7,7,4,11,7,0,1,1,0,7.1,6.3,2.1,8.4,53,31,155,0.48,0.41,69,26,37.7,3.03,1.14,0.1,0.27,15.9,0
640,TomAA AvanAara,cz CZE,FW,Gladbach,de Bundesliga,23,2000,28,7,831,9.2,2,0,2,2,0,0,5,1,3.8,3.8,0.9,4.7,15,23,50,0.22,0.51,24,9,37.5,2.6,0.97,0.08,0.22,13.9,0
642,Danilo DAmbrosio,it ITA,DF,Monza,it Serie A,35,1988,20,12,1095,12.2,0,1,1,0,0,0,2,1,0.5,0.5,0.4,0.9,10,34,16,0.08,0.08,9,4,44.4,0.74,0.33,0,0,18,1
643,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,2001,36,30,2613,29,3,2,5,3,0,0,4,0,2,2,3.8,5.8,63,154,85,0.17,0.2,37,14,37.8,1.27,0.48,0.08,0.21,23.8,3
647,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,1996,9,3,364,4,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,1,17,6,0.49,0.31,7,2,28.6,1.73,0.49,0.14,0.5,22.6,1
648,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,1998,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.16,15,4,26.7,1.83,0.49,0.07,0.25,14.8,0
650,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,2000,31,11,1154,12.8,3,2,5,3,0,0,1,0,4.3,4.3,0.6,4.9,9,17,84,0.39,0.38,31,11,35.5,2.42,0.86,0.1,0.27,11.6,0
651,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,1999,33,31,2814,31.3,0,3,3,0,0,0,5,0,2,2,2,4.1,62,103,168,0.1,0.13,25,5,20,0.8,0.16,0,0,16.1,0
652,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,2000,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.37,0.35,35,7,20,1.08,0.22,0.06,0.29,17.6,3
654,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,2001,18,9,1004,11.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,38,8,0,0.02,3,1,33.3,0.27,0.09,0,0,18,0
658,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,1997,25,15,1335,14.8,2,0,2,2,0,0,2,0,3.6,3.6,1.7,5.3,91,41,185,0.13,0.35,30,14,46.7,2.02,0.94,0.07,0.14,16,1
660,KAvin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,2004,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0,0.23,17,3,17.6,1.05,0.18,0,0,17.4,0
661,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0,0.05,7,3,42.9,0.75,0.32,0,0,16.9,0
663,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,25,21,1964,21.8,0,0,0,0,0,0,5,1,0.5,0.5,0.2,0.6,18,96,8,0,0.03,9,2,22.2,0.41,0.09,0,0,11.9,0
666,Bence DArdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,2006,21,16,1304,14.5,1,1,2,1,0,0,0,0,1,1,1,2.1,5,39,24,0.14,0.14,11,1,9.1,0.76,0.07,0.09,1,14.8,0
667,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30,1993,38,34,2744,30.5,2,6,8,2,0,0,4,0,2.1,2.1,3.7,5.8,37,142,83,0.26,0.19,36,9,25,1.18,0.3,0.06,0.22,24.2,1
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,34,1989,29,20,1781,19.8,3,2,5,3,0,0,3,0,1.9,1.9,1.5,3.5,14,45,102,0.25,0.18,11,3,27.3,0.56,0.15,0.27,1,14.4,0
669,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,2.7,1.9,0.7,2.6,8,11,19,0.44,0.74,8,4,50,1.75,0.87,0.13,0.25,15.8,0
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,2000,32,28,2554,28.4,16,5,21,10,6,7,4,0,16.2,10.7,4.4,15.1,40,65,184,0.53,0.73,66,28,42.4,2.33,0.99,0.15,0.36,15.3,0
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23,2000,19,17,1560,17.3,1,2,3,1,0,0,0,0,1.2,1.2,1.6,2.8,81,120,140,0.17,0.16,17,3,17.6,0.98,0.17,0.06,0.33,18.3,0
673,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31,1993,17,14,1331,14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0,0.03,5,1,20,0.34,0.07,0,0,17,0
674,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,1998,23,10,1066,11.8,2,1,3,2,0,0,2,0,2.9,2.9,2.1,5,26,22,77,0.25,0.42,29,11,37.9,2.45,0.93,0.07,0.18,12.7,0
675,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24,2000,33,32,2743,30.5,1,2,3,1,0,0,5,1,1,1,4.9,5.8,52,59,137,0.1,0.19,16,2,12.5,0.52,0.07,0.06,0.5,19.8,2
676,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Atienne,fr Ligue 1,23,2001,33,32,2778,30.9,9,8,17,7,2,2,3,0,8.1,6.6,4.7,11.3,95,73,224,0.49,0.43,68,24,35.3,2.2,0.78,0.1,0.29,19.4,5
678,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0,0.5,6,20,5,0,0.05,5,1,20,0.46,0.09,0,0,8.5,0
679,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,1991,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8,13.1,51,157,150,0.58,0.69,57,15,26.3,3.01,0.79,0.07,0.27,21.4,8
680,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2,14,15,48,0.36,0.24,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0
681,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,2001,36,25,2070,23,7,7,14,7,0,0,1,0,7.3,7.3,6,13.2,108,140,211,0.61,0.57,48,20,41.7,2.09,0.87,0.15,0.35,12.2,0
682,Rodrigo De Paul,ar ARG,MF,Atletico Madrid,es La Liga,30,1994,34,23,2106,23.4,3,5,8,3,0,0,7,0,1.3,1.3,5.6,6.9,85,231,64,0.34,0.29,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0
684,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31,1992,16,7,769,8.5,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,4,18,7,0.12,0.09,5,3,60,0.59,0.35,0.2,0.33,16.9,0
685,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36,1988,18,13,1060,11.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,4,46,30,0.08,0.09,9,4,44.4,0.76,0.34,0.11,0.25,12.2,0
687,Koni De Winter,be BEL,DF,Genoa,it Serie A,22,2002,25,23,2135,23.7,3,0,3,3,0,0,6,0,2.1,2.1,0.2,2.3,10,56,10,0.13,0.1,13,7,53.8,0.55,0.3,0.23,0.43,8.8,0
688,Amar DediA,ba BIH,DF,Marseille,fr Ligue 1,21,2002,10,2,314,3.5,0,1,1,0,0,0,1,0,0.9,0.9,0.9,1.8,21,16,46,0.29,0.51,6,2,33.3,1.72,0.57,0,0,18.3,0
689,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28,1995,29,16,1432,15.9,2,1,3,2,0,0,6,0,1.7,1.7,0.6,2.4,11,40,36,0.19,0.15,18,5,27.8,1.13,0.31,0.11,0.4,18.1,0
690,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28,1996,26,14,1259,14,6,4,10,3,3,4,0,0,4.7,1.5,3.4,4.9,29,61,106,0.5,0.58,17,8,47.1,1.22,0.57,0.18,0.38,19.7,0
691,Enrico Del Prato,it ITA,DF,Parma,it Serie A,24,1999,34,32,2947,32.7,4,0,4,4,0,0,8,0,2,2,1.2,3.2,8,81,31,0.12,0.1,12,5,41.7,0.37,0.15,0.33,0.8,12,0
693,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21,2003,37,32,2593,28.8,12,2,14,10,2,2,12,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.39,66,29,43.9,2.29,1.01,0.15,0.34,16,0
694,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23,2001,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57,0.38,0.18,16,5,31.3,1.52,0.48,0.19,0.6,20.9,0
695,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32,1991,9,8,607,6.7,0,0,0,0,0,0,1,0,1.3,1.3,0.9,2.2,4,6,20,0,0.38,17,6,35.3,2.52,0.89,0,0,15.7,0
697,Ali DembAlA,fr FRA,DF,Torino,it Serie A,20,2004,15,4,388,4.3,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,8,12,8,0.23,0.1,5,2,40,1.16,0.46,0.2,0.5,13.3,0
698,Ousmane DembAlA,fr FRA,FW,Paris S-G,fr Ligue 1,27,1997,29,20,1730,19.2,21,6,27,20,1,1,1,0,16.6,15.8,8.2,24,127,137,252,1.35,1.29,96,49,51,4.99,2.55,0.21,0.41,16,0
699,Ermedin DemiroviA,ba BIH,FW,Stuttgart,de Bundesliga,26,1998,34,20,1855,20.6,15,1,16,15,0,2,2,0,14.1,12.4,1.9,14.3,20,31,115,0.78,0.78,64,27,42.2,3.11,1.31,0.23,0.56,11.3,0
700,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22,2001,31,29,2586,28.7,0,0,0,0,0,0,3,0,2,2,0.8,2.8,12,79,28,0,0.1,20,6,30,0.7,0.21,0,0,10.5,0
703,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,5,21,13,0.36,0.25,10,6,60,1.78,1.07,0.1,0.17,21.1,1
706,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30,1993,37,37,3330,37,3,2,5,3,0,0,6,0,2.8,2.8,3.9,6.7,50,224,163,0.14,0.18,21,6,28.6,0.57,0.16,0.14,0.5,11.4,0
707,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27,1996,35,27,2177,24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.5,0.47,39,19,48.7,1.61,0.79,0.23,0.47,13.3,0
708,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27,1996,13,7,653,7.3,2,0,2,2,0,0,0,0,1.5,1.5,0,1.5,5,14,2,0.28,0.21,11,4,36.4,1.52,0.55,0.18,0.5,9,0
709,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18,2005,28,5,858,9.5,2,1,3,2,0,0,2,0,1,1,1.1,2.2,61,17,77,0.31,0.23,18,8,44.4,1.89,0.84,0.11,0.25,19.2,2
710,BafodA DiakitA,fr FRA,DF,Lille,fr Ligue 1,23,2001,31,31,2766,30.7,4,1,5,4,0,0,8,1,2.3,2.3,0.2,2.5,15,90,3,0.16,0.08,16,7,43.8,0.52,0.23,0.25,0.57,8.3,0
711,Oumar DiakitA,ci CIV,FW,Reims,fr Ligue 1,20,2003,26,20,1628,18.1,4,1,5,4,0,1,6,0,5.5,4.7,1.1,5.8,24,44,93,0.28,0.36,26,9,34.6,1.44,0.5,0.15,0.44,12.1,0
712,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22,2002,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.66,0.45,47,17,36.2,2.23,0.8,0.17,0.47,17.5,0
713,Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18,2005,15,14,1252,13.9,8,1,9,8,0,0,2,0,4,4,0.4,4.4,50,36,116,0.65,0.31,28,13,46.4,2.01,0.93,0.29,0.62,15.5,0
715,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20,2004,30,27,2352,26.1,4,5,9,2,2,2,6,0,3.3,1.8,4.5,6.3,61,116,114,0.27,0.3,25,10,40,0.96,0.38,0.08,0.2,20.2,1
717,RAoben Dias,pt POR,DF,Manchester City,eng Premier League,27,1997,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0,0.07,21,7,33.3,0.83,0.28,0,0,19.4,0
718,KrApin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25,1999,19,3,508,5.6,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1,17,21,41,0,0.17,2,1,50,0.35,0.18,0,0,13.1,0
720,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19,2005,15,6,582,6.5,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.8,9,16,6,0.15,0.12,7,1,14.3,1.08,0.15,0,0,20.4,0
722,Brahim DAaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24,1999,31,16,1385,15.4,4,2,6,4,0,0,0,0,5.3,5.3,3.3,8.6,39,74,110,0.39,0.56,28,15,53.6,1.82,0.97,0.14,0.27,12.6,0
724,Luis DAaz,co COL,FW,Liverpool,eng Premier League,27,1997,36,28,2399,26.7,13,5,18,13,0,0,2,0,12,12,5,17.1,108,110,293,0.68,0.64,71,30,42.3,2.66,1.13,0.18,0.43,13.4,0
725,Pedro DAaz,es ESP,MF,Rayo Vallecano,es La Liga,26,1998,26,12,1211,13.5,3,0,3,3,0,1,2,0,2.4,1.6,2.1,3.7,27,62,49,0.22,0.33,31,7,22.6,2.3,0.52,0.1,0.43,24.6,1
726,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18,2006,33,20,1874,20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.1,0.2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0
727,Diego,es ESP,FW,Leganes,es La Liga,24,2000,28,13,1195,13.3,3,0,3,3,0,0,2,0,3.8,3.8,0.2,4,9,16,49,0.23,0.3,29,9,31,2.18,0.68,0.1,0.33,14.1,0
728,Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,1,1,0.1,1.1,5,5,20,0.87,0.94,7,1,14.3,6.06,0.87,0.14,1,15.8,0
729,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,2000,18,5,532,5.9,3,0,3,2,1,1,1,0,3.1,2.3,0,2.4,6,7,35,0.34,0.53,13,6,46.2,2.2,1.02,0.15,0.33,18.5,2
730,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30,1994,21,16,1463,16.3,2,1,3,2,0,0,1,0,1.1,1.1,0.1,1.2,12,73,1,0.18,0.08,9,5,55.6,0.55,0.31,0.22,0.4,6.3,0
731,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.15,0.21,13,3,23.1,0.5,0.11,0,0,22.7,5
733,Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26,1997,32,28,2140,23.8,4,7,11,4,0,0,3,0,3.3,3.3,6.1,9.5,47,83,232,0.46,0.39,55,20,36.4,2.31,0.84,0.07,0.2,20.1,8
736,Eren DinkAi,de GER,"MF,FW",Freiburg,de Bundesliga,22,2001,23,13,1196,13.3,0,3,3,0,0,0,1,0,1.1,1.1,2.2,3.3,33,35,71,0.23,0.25,14,3,21.4,1.05,0.23,0,0,19,0
737,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23,2001,23,22,1945,21.6,3,2,5,3,0,0,6,0,1.1,1.1,0.6,1.7,8,72,8,0.23,0.08,9,4,44.4,0.42,0.19,0.33,0.75,15,0
738,Yan DiomandA,ci CIV,"MF,FW",Leganes,es La Liga,17,2006,10,6,545,6.1,2,1,3,2,0,0,1,0,1.4,1.4,0.9,2.3,37,16,64,0.5,0.38,11,3,27.3,1.82,0.5,0.18,0.67,17.3,0
740,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27,1997,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0,0.04,5,2,40,0.34,0.13,0,0,10.7,0
742,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24,2000,28,8,1064,11.8,6,4,10,6,0,0,3,0,6,6,2.9,8.9,26,64,70,0.85,0.75,22,11,50,1.86,0.93,0.27,0.55,16.4,3
743,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21,2003,34,27,2225,24.7,1,2,3,1,0,0,2,0,2.9,2.9,2.8,5.7,82,116,94,0.12,0.23,40,5,12.5,1.62,0.2,0.03,0.2,20,0
744,Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24,1999,34,34,3060,34,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,1,0,0,0,1,1,100,0.03,0.03,0,0,11.8,0
745,Assane DioussA,sn SEN,MF,Auxerre,fr Ligue 1,26,1997,17,7,663,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,33,6,0,0.04,3,2,66.7,0.41,0.27,0,0,27.7,0
747,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26,1998,6,4,364,4,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.09,2,1,50,0.49,0.25,0.5,1,12.3,0
749,Alvaro djalA3,es ESP,FW,Athletic Club,es La Liga,24,1999,17,7,659,7.3,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,22,13,60,0.14,0.23,15,3,20,2.05,0.41,0.07,0.33,18.5,0
752,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31,1993,34,32,2640,29.3,1,2,3,1,0,0,6,0,2.7,2.7,1.3,3.9,32,109,42,0.1,0.13,20,4,20,0.68,0.14,0.05,0.25,9.7,0
754,Ritsu Doan,jp JPN,"FW,MF",Freiburg,de Bundesliga,26,1998,34,33,2862,31.8,10,7,17,10,0,0,2,0,6.6,6.6,3.7,10.3,64,130,178,0.53,0.32,61,21,34.4,1.92,0.66,0.16,0.48,16.7,1
755,DodA,br BRA,DF,Fiorentina,it Serie A,25,1998,34,34,3025,33.6,0,4,4,0,0,0,8,0,1.4,1.4,4.2,5.6,143,128,193,0.12,0.16,25,5,20,0.74,0.15,0,0,17.9,0
756,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26,1998,34,34,3060,34,1,1,2,1,0,0,4,0,2.6,2.6,1.4,4,13,96,14,0.06,0.12,32,4,12.5,0.94,0.12,0.03,0.25,10.5,0
757,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,32,1992,30,25,2109,23.4,2,1,3,2,0,0,6,0,1,1,1.5,2.6,29,79,41,0.13,0.11,10,3,30,0.43,0.13,0.2,0.67,11.4,0
758,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,22,2002,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.53,0.36,29,9,31,1.72,0.53,0.1,0.33,17.7,0
759,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,2006,10,3,303,3.4,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,1,4,21,0,0.27,8,2,25,2.38,0.59,0,0,15.2,0
761,BenjamAn DomAnguez,ar ARG,FW,Bologna,it Serie A,20,2003,24,16,1281,14.2,3,2,5,3,0,0,0,0,2.2,2.2,0.8,3.1,50,32,123,0.35,0.21,30,17,56.7,2.11,1.19,0.1,0.18,19.2,0
762,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23,2001,19,13,1181,13.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,15,66,4,0,0.02,3,1,33.3,0.23,0.08,0,0,8.5,0
764,NicolAs DomAnguez,ar ARG,"MF,FW",Nottham Forest,eng Premier League,26,1998,34,23,1963,21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.05,0.13,21,9,42.9,0.96,0.41,0,0,18.9,0
767,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,0.7,1.2,41,34,83,0,0.12,10,2,20,1.07,0.21,0,0,16.4,0
771,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,26,1998,22,19,1335,14.8,2,2,4,2,0,0,5,1,1,1,1.1,2.1,13,57,21,0.27,0.14,9,3,33.3,0.61,0.2,0.22,0.67,23,2
772,Alberto Dossena,it ITA,DF,Como,it Serie A,25,1998,23,20,1825,20.3,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0.1,0.07,12,3,25,0.59,0.15,0,0,11.3,0
773,Abdoulaye DoucourA,ml MLI,MF,Everton,eng Premier League,31,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.18,0.23,31,9,29,1.09,0.32,0.1,0.33,14,0
776,DAsirA DouA,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,19,2005,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13,97,139,232,0.62,0.67,55,20,36.4,2.86,1.04,0.11,0.3,17.9,0
777,Guela DouA,ci CIV,DF,Strasbourg,fr Ligue 1,21,2002,32,30,2717,30.2,1,2,3,1,0,0,7,0,0.8,0.8,0.7,1.5,51,173,54,0.1,0.05,18,6,33.3,0.6,0.2,0.06,0.17,14.4,0
778,Douglas,br BRA,MF,Nantes,fr Ligue 1,27,1997,28,28,2307,25.6,4,2,6,4,0,0,8,0,3.4,3.4,1.5,4.9,14,125,34,0.23,0.19,36,14,38.9,1.4,0.55,0.11,0.29,17.2,0
779,IsmaAl DoukourA,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21,2003,31,31,2639,29.3,1,1,2,1,0,0,7,0,0.6,0.6,1.1,1.6,20,116,9,0.07,0.06,3,1,33.3,0.1,0.03,0.33,1,13.4,0
780,Issa Doumbia,it ITA,MF,Venezia,it Serie A,20,2003,24,10,939,10.4,0,0,0,0,0,0,0,0,1,1,0.1,1.2,12,22,29,0,0.11,16,5,31.3,1.53,0.48,0,0,16.7,0
781,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21,2003,30,13,1322,14.7,3,2,5,3,0,0,1,0,2.7,2.7,1.2,3.9,17,72,54,0.34,0.27,22,10,45.5,1.5,0.68,0.14,0.3,16.7,1
783,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,24,1999,13,6,580,6.4,2,2,4,2,0,0,1,0,2.5,2.5,1.1,3.7,8,6,36,0.62,0.57,14,5,35.7,2.17,0.78,0.14,0.4,12.4,0
785,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27,1997,32,27,2418,26.9,12,2,14,10,2,2,0,0,11.9,10.3,2.4,12.7,24,16,175,0.45,0.53,61,25,41,2.27,0.93,0.16,0.4,13.7,0
786,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,25,1999,27,25,2151,23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.07,10,3,30,0.42,0.13,0.1,0.33,18.7,0
787,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.18,0.2,9,2,22.2,1.66,0.37,0,0,24.5,1
788,Radu DrAguEin,ro ROU,DF,Tottenham,eng Premier League,22,2002,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0,0.04,5,1,20,0.36,0.07,0,0,12.7,0
790,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19,2005,8,5,357,4,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,16,2,0,0.02,2,2,100,0.5,0.5,0,0,27.5,0
791,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29,1995,22,21,1859,20.7,1,0,1,1,0,0,4,2,0.2,0.2,0.1,0.3,3,47,3,0.05,0.01,3,1,33.3,0.15,0.05,0.33,1,13,0
793,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30,1994,32,30,2418,26.9,8,8,16,7,1,2,3,0,10.1,8.5,8.5,17,26,86,166,0.56,0.69,70,27,38.6,2.61,1,0.1,0.26,17.3,8
794,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29,1994,28,27,2395,26.6,1,3,4,1,0,0,12,1,1,1,3.2,4.2,23,117,26,0.15,0.16,25,5,20,0.94,0.19,0.04,0.2,27.1,5
795,Duk,cv CPV,"MF,FW",Leganes,es La Liga,24,2000,10,1,179,2,0,0,0,0,0,0,1,0,0,0,0.7,0.7,10,3,21,0,0.34,2,1,50,1.01,0.5,0,0,30.3,0
