Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
286,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,24,2000,34,27,2402,26.7,0,9,9,0,0,0,3,0,1.1,1.1,4.7,5.8,83,87,191,0.34,0.22,18,5,27.8,0.67,0.19,0,0,15.2,0
287,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26,1998,35,20,1677,18.6,2,7,9,2,0,0,3,0,1.5,1.5,3.8,5.3,52,43,89,0.48,0.29,22,5,22.7,1.18,0.27,0.09,0.4,21.2,2
288,HActor BellerAn,es ESP,DF,Betis,es La Liga,29,1995,9,6,580,6.4,0,2,2,0,0,0,1,0,0.2,0.2,2,2.2,3,24,22,0.31,0.35,1,1,100,0.16,0.16,0,0,14.6,0
289,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21,2003,31,29,2488,27.6,9,8,17,8,1,2,5,1,11.4,9.9,3.9,13.7,74,199,143,0.58,0.55,60,22,36.7,2.17,0.8,0.13,0.36,15.6,0
291,Andrea Belotti,it ITA,FW,Como,it Serie A,30,1993,18,7,593,6.6,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.8,9,9,33,0.3,0.43,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0
292,Fran BeltrAn,es ESP,MF,Celta Vigo,es La Liga,25,1999,34,29,2421,26.9,2,1,3,2,0,0,3,0,1,1,1.8,2.8,28,152,29,0.11,0.1,23,4,17.4,0.86,0.15,0.09,0.5,23.1,0
293,Lucas BeltrAn,ar ARG,"FW,MF",Fiorentina,it Serie A,23,2001,32,20,1864,20.7,5,4,9,3,2,3,6,0,5.4,3.1,3,6.1,23,64,94,0.34,0.39,26,6,23.1,1.26,0.29,0.12,0.5,15.9,0
294,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,19,2005,33,19,1750,19.4,6,3,9,4,2,2,0,0,5.5,4.1,5.2,9.3,85,122,170,0.36,0.55,58,19,32.8,2.98,0.98,0.07,0.21,20.9,3
295,Carlos BenavAdez,uy URU,MF,Alaves,es La Liga,26,1998,18,6,487,5.4,1,1,2,1,0,0,3,0,0.3,0.3,0.6,0.9,4,26,5,0.37,0.16,5,2,40,0.92,0.37,0.2,0.5,21.4,0
297,LAszlA3 BAnes,sk SVK,"MF,FW",Union Berlin,de Bundesliga,26,1997,23,3,589,6.5,2,1,3,2,0,0,4,0,0.9,0.9,1,1.9,6,28,34,0.46,0.29,19,7,36.8,2.9,1.07,0.11,0.29,22.1,2
